annotate,post
"[0, 0, 0, 1]"," Ang balay sa akong silingan kay paabangan na, maayo unta nga makuha ako"
"[0, 0, 0, 1]"," Sa pagsugod sa iyong recipe, batili una ang mga sangkap"
"[1, 0, 0, 0]"," Sa pagkakita nako sa iyang mga gi-post, nagduda ko nga baga'g nawong gyud siya."
"[1, 0, 0, 0]", Ang iyang batan-on nga dugo nagdala og bibo sa mahulog nga pagsaulog.
"[0, 1, 0, 0]"," Dili ko gusto moapil sa group chat nila, kay burikat sa Pasil ra sila ug istorya"
"[0, 1, 0, 0]", Sayo pa ganina nagtan-aw ko ug salida ug mura’g tanan mga desisyon sugo sa direktor lang gyud
"[0, 0, 1, 0]","Sige lang, mag-rampa ta sa plaza karon"
"[0, 1, 0, 0]"," Ayaw na lang, walay utang karon, ugma ra bitaw"
"[1, 0, 0, 0]"," Ingna siya nga ayaw maglangan, kay kinahanglan na nato ang bibingkang liki para sa atong kalipay"
"[0, 0, 0, 1]"," Abi nako nga nga maayo akong gipatanggalang sa akong mga kaila, pero karon, maikog na ko"
"[0, 0, 1, 0]"," Dili ko magtuo nga wala nahilig si Brian, kay maayo man siya makighimamat sa mga lalaki."
"[0, 0, 1, 0]", Perfect time na para mag-rampa sa mga mall kay daghan kay mga sales
"[0, 0, 0, 1]", Magluto ta ug isdaa nga sabaw karong gabii
"[0, 0, 0, 1]", Ang mga mag-uuma nagkinahanglan og armas aron mapugngan ang mga atake sa mga baka
"[1, 0, 0, 0]"," Ang bata nga imong nakit-an, tingali anak sa engkanto kay sobrang puti."
"[1, 0, 0, 0]",Dili mo kasabot sa among sitwasyon kay ikaw dili ka anak sa buhat
"[1, 0, 0, 0]"," Grabe siya makasaba, pasabot ana, basa og baba kaayo"
"[0, 1, 0, 0]",Ayaw pagdula didto kay mogawas ang pari nga walay ulo!
"[0, 1, 0, 0]"," Pasensya na, pero ayaw pagbuot, lain-lain tag lubot, palihug lang!"
"[0, 0, 0, 1]", Ang tinagoan nga kwarto sa balay ni Lolo puno sa mga kahimanan nga wala na gigamit
"[0, 0, 0, 1]",Naa sa tunga sa dalan ang bagong tindahan
"[0, 1, 0, 0]", Ang akong Lola sige’g ingon nga mogawas ang pari nga walay ulo kung maglata-lata ka sa kalye!
"[1, 0, 0, 0]"," Dugay na kayong nag-ingon nga si Jake ander da bunal, pero kabalo naman ko nga kinahanglan niya i-balanse ang iyang kinabuhi"
"[0, 0, 0, 1]","Gikaon nako ang itlog, ug gipabatil ko kini gamit ang whisk"
"[0, 0, 0, 1]", Ang rampa nag-awhag sa matag modelo nga ipakita ang ilang best sa audience.
"[0, 0, 1, 0]", Ang mga talib magpabilin nga natago sa atong kultura
"[0, 1, 0, 0]"," Ay, nagkuyog na gud ang buhok nimo, nadakpan na ba ang nagtupi nimo!"
"[0, 0, 0, 1]"," Sa mga handumanan sa akong pagkabata, ang akong inahan magluto sa bangus nga ginatan, ug kini usa ka paborito sa pamilya"
"[0, 0, 1, 0]"," Iyang giingon nga ang tahong kay dako og vs. small, kay naay lain na mas maayo pa"
"[1, 0, 0, 0]"," Pagkadawat sa tamang balita, abot sa dalunggan ang ngisi nila"
"[0, 1, 0, 0]","Ayo ra na, murag anak sa bugoon ra gyud nang iyang gibuhat!"
"[1, 0, 0, 0]","Nindot kaayo ang bag-ong haon sa ilang mga cellphone, klaro kaayo ang camera!"
"[1, 0, 0, 0]", Wala tay mahimo kundi ang pasagdan ang anak sa gawas
"[1, 0, 0, 0]", Ang mga party niya pirme nagkinahanglan og daghang kwarta kay awas og palad siya
"[0, 0, 0, 1]",Ang akong bayo kay ugis sama sa mga balhibo sa manok
"[0, 0, 1, 0]",Nanghitabo na si Mark sa mall kay nag-rampa siya para makakita og bagong uyab
"[0, 0, 0, 1]", Ang mga mahatagon nga mga tawo sa komunidad importante kaayo kay sila nagpasabot sa pagkahiusa
"[1, 0, 0, 0]"," Gigutom na ko, pero ingon siya nga bangus ang iyang gihunahuna"
"[0, 0, 0, 1]", Gikuyog ko ang senyor sa maong kalihokan
"[0, 0, 0, 1]", Pagkat-on og maayo kung unsaon pag-taga kay kinahanglan ang pasensya.
"[1, 0, 0, 0]", Dili na ta mag-asa kay basa na'g papel ang iyang kredibilidad
"[0, 0, 1, 0]"," Okay ra mang rampa anytime, basta kay enjoy"
"[0, 0, 1, 0]"," Pagsugod pa lang, murag nagkanaug na ang taga sa samak sa akong kasuotan"
"[0, 1, 0, 0]"," Basta para nako, ang malas naa sa menteryo, dili ko palabi sa kasamok"
"[0, 0, 0, 1]"," Pinaagi sa tamang pamamahagi, mas daghan ang makaapil sa mga oportunidad"
"[0, 0, 0, 1]",Ang puti sa itlog kay puno sa protina
"[1, 0, 0, 0]"," Iya nang giangkon nga anak sa liking kawayan siya, apan nagpadayon siya sa pagtan-aw sa kaugmaon"
"[0, 0, 0, 1]",Si Juan ang ikaduha sa mga opisyal sa barangay.
"[0, 0, 0, 1]"," Og karong adlaw, sirado ang mga tindahan kay nag-obserbar ang mga senyora og special holiday"
"[1, 0, 0, 0]", Ang mga tawo nga bagag lips maningkamot gyud sa pagdaog sa ilang mga ambisyon
"[1, 0, 0, 0]",Nagsala siya sa tindahan kay balhiboon og kamot man siya
"[1, 0, 0, 0]"," Ekis ang magpaka-ander de bunal, dapat kabalo ta unsay atong gusto sa kinabuhi."
"[0, 1, 0, 0]"," Imo naman gi-interview ang tanan, CI ka?"
"[0, 0, 1, 0]", Panagsa ra kayo ko makakita og espada nga sobra ka dako.
"[0, 0, 0, 1]", Wala na akong nakita sa iyang bag
"[0, 0, 1, 0]", Kailangan natong respetohon ang mga pribadong bahin sa uban
"[0, 1, 0, 0]"," Nganong magpaka-kabayo man ka, kung wala kay lingaw sa kinabuhi, dakpa akong utot"
"[0, 0, 0, 1]", Nakatilaw ko og lami nga nga gatas gikan sa among gibuhi na baka
"[0, 0, 0, 1]", Nagdula sila ug basketball ug ang ikaduha nga scorer kay si Miguel
"[0, 0, 1, 0]"," Ayaw na pag pakaulaw sa imong linukot, kay part man na sa kinabuhi."
"[0, 1, 0, 0]"," Sige lang ka nakalugsong sa bukid, pero huwag kalimti ang nakalugsong nga sardinas"
"[0, 0, 0, 1]", Asa ka makapalit og budbod nga lami?
"[1, 0, 0, 0]"," Ang akong amigo, pag mo-shift sa topic, basta basa og baba, walay hunong"
"[0, 0, 1, 0]","Nindot unta to ang outing, pero ataka anang panahon!"
"[0, 0, 1, 0]"," Bisan unsa pa man ang mahitabo, ang mga paningkamot mao ang autuas nga atong Buhaton"
"[1, 0, 0, 0]", Magsayaw ko hangtod mahugno ang akong baba sa atay
"[0, 0, 0, 1]", Wala pa mi nakapuli sa sala
"[0, 0, 0, 1]", Dili na lang ko magbutang og kwarta dinhi kay basin makawat
"[0, 0, 1, 0]", Naa silay mga funny stories nga naglakip sa taga sa ilang mga kabataan
"[0, 0, 0, 1]"," Nawala ang akong libro sa eskwelahan, wala na koy mabasahan"
"[0, 0, 1, 0]", Dili tanan makasabot unsaon pag-atiman sa tunga
"[0, 1, 0, 0]"," Sa akong trabaho, ayaw pagbuot, tagsa-tagsa tag lubot kay ako ra ang makabalo unsa ang angay"
"[0, 0, 1, 0]"," Wala’y laing buhaton, rampa ra ta ron sa campus"
"[0, 1, 0, 0]"," Nakaingon ko nga anak sa bugoon akong amigo, kay nagdala ug pato sa bulangan"
"[0, 1, 0, 0]"," Makita ra gyud nimo nga burikat sa Pasil ang iyang mga amigo, kay mahilig man sila ug kalas-kalas"
"[1, 0, 0, 0]", Ang iyang tingog nagbasa na pagkasamad sa tingog sa stage
"[1, 0, 0, 0]", Mag-istorya ra ba na siya abot sa pikas bukid na iya tingog
"[1, 0, 0, 0]","Ang pagka-baga'g hasang wala magpasabot nga di na ma-feel ang kakapoy, apan nagpasabot kini nga makaya nato ang tanan"
"[0, 0, 0, 1]", Taga Mindanao ko unya ang akong pamilya nagapuyo didto
"[1, 0, 0, 0]"," Gi-feature ang ilang bag-ong haon nga album sa radio, nindot kaayo paminawon"
"[0, 1, 0, 0]", Nadakpan na! Ang imong haircut kay trending na sa barrio!
"[1, 0, 0, 0]", Kanunay siya nagpasagad kay kabalo siyang dili siya maander
"[0, 1, 0, 0]"," Ngano nasuko ka, kinsa man na imong sala nga ikaw ra ang nagdesisyon?"
