annotate,post
"[0, 0, 0, 0]",gusto ko mo kaon pero tabang dili ko ganahan manok napd
"[1, 1, 1, 1]",nahihirapan nako sa ubo ko
"[0, 0, 0, 0]",gikapoy na ko para ugma
"[1, 0, 0, 0]",mawala na unta ni by monday ako hilanat uy kay diko gusto ma biyaan ojt bushet
"[0, 0, 0, 0]",hayssss gikapoy na lagi kog organize2 ug events uuyy. pwd lahi nasad nga ferzooon??? i wanna enjoy an audience life
"[0, 0, 0, 0]",nganong karon pamn jud uy ug kanusa nagluya natas kakapoy
"[0, 0, 0, 0]",i am okay. pagod lang sa adult life p.s. hayp na yan san ka nagmana?
"[0, 0, 0, 0]",gikapoy najud ko
"[0, 0, 0, 0]",agahon pa sakit ang dughan ah
"[1, 1, 1, 0]",pila na ni ka adlaw ang hilanat kag ubo i miss my voice
"[1, 1, 0, 0]",ubo sipon lagnat
"[0, 0, 0, 0]","makahilak sad ta magtan aw sa mga nahitabong trahedya karon uy, sakit kay sa dughan tan awon ang mga videos"
"[1, 1, 1, 1]",dakpan napud sa hilanat
"[1, 1, 1, 1]",jwu may sinat ako
"[1, 0, 0, 0]","sauna once or twice a year ra magsakit, karun ga dungan ang mga sakit. paghuman sa hilanat, ma trigger ang allergies. mura mag g trippan akong immune system"
"[0, 0, 0, 0]","1. ang kugtong nakadungog ka na ba bahin sa urban legend sa higante nga goldfish sa cagayan de oro? aw, ang sugbo dunay kaugalingong katugbang, ang kugtong. ang kugtong usa ka ilado nga leyenda sa dakbayan sa lapulapu. sumala sa urban legend, ang kugtong usa ka higanteng isda nga grupo sa mga tawo nga nagpuyo ubos sa usa ka kompanya sa paggaling. ang uban nagingon nga ang isda makatulon sa usa ka tawo nga tibuok pinaagi sa iyang mga ngipon nga nagisi sa unod ug mga labaha nga himbis. nagtuo sila nga ang mga isda gimutate gikan sa mga biological waste nga produkto gikan sa milling company. may mga tawo nga nagtuo nga swerte ang isda, hinungdan nga giatiman pagayo sa mga tagiya sa milling company ang kugtong aron magmalampuson ang ilang negosyo. 2. minda mora ang mga cebuano ganahan og maayong horror story. ang mosunod nga urban legend kay gikan sa university of san carlos downtown campus. matod nila usa ka estudyante nga gihinganlan og minda mora ang naghasol gihapon sa unibersidad hangtod karon tungod sa iyang trahedya nga gidangatan. ang leyenda nagingon nga si minda mora, usa ka promising nga estudyante nga mahilig magperform, gilugos ug gipatay sa daghang mga security personnel. ang lawas sa kabus nga tinunan giingong gilubong sa usc cultural center. nagtinguha sa pagpanimalos alang sa iyang makalilisang nga kamatayon, nagpadayon gihapon siya sa mga hawanan sa unibersidad. 3. lily ang mga sikat nga filipino urban legend hapit kanunay naglakip og aswang. ang sugbo adunay aswang nga numero sa ngalan nga lily. sumala sa urban legend, si lily usa ka mangkukulam nga milamoy sa mga tawo sa tungang gabii. siya giingon nga labing gamhanan kung modanag ang bulan. i think ganahan mo matulog karung gabii na naay suga"
"[0, 0, 0, 0]",naa nasab ning akong gibati na gikapoy ko sa tanan
"[0, 0, 0, 0]",pagod na oy
"[1, 1, 1, 1]",i badly need a relax day huhu nahihirapan ako huminga raynow
"[1, 0, 0, 0]",gikapoy nakog tuon aning 1987 constitution
"[0, 0, 0, 0]","gina isip ko palang, gikapoy nako. hays."
"[1, 0, 0, 0]",ya hilanat ka bata ko taas du indi man ko makampante amo ja gle ka budlay kng rayo kaw sa pamilya mo
"[1, 1, 1, 0]",ubo nga gipugngan.jk
"[0, 0, 0, 0]",pisti gikapoy nakog skwela
"[0, 0, 0, 0]",wala pa nagsugod duty gikapoy nako
"[1, 1, 0, 0]",ya hilanat ka bata ko taas du indi man ko makampante amo ja gle ka budlay kng rayo kaw sa pamilya mo
"[1, 1, 1, 0]",nga a subong pa ko gi lagnat? huhu okininam
"[0, 0, 0, 0]",pag human feb fair dle nako mo gawas sa balay except mo skwela. gikapoy nako!!!
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani"
"[1, 1, 1, 1]",dinamani gaka wala ako hilanat oy samokaa
"[0, 0, 0, 0]",tama na lord pls. sakit na kaaayo. unsa paman ang buhaton nako lord. sobra na kaayo ang sakit sakong dughan lord
"[1, 1, 1, 1]",dili sako magfacebook bai!! sakit jud kaayo sa dughan ang trahedya na gisinati sa masara
"[1, 1, 1, 1]",3 days nakong may lagnat
"[1, 0, 0, 0]",kaboring oy gikapoy nakog study. way oten dinha?
"[0, 0, 0, 0]","pagod nako maging maangas, gusto ko nalang mag pa baby"
"[0, 0, 0, 0]",gikapoy naman ko kapoyon mga goys!!!!!
"[0, 0, 0, 0]",gikapoy nako sig hilak
"[1, 1, 1, 1]",naa pagyud ko kanta run da iponan. grabe akong hilanat
"[0, 0, 0, 0]",bisan dli ta ganahan mo kaon kasab an nuon tag dli mo kaon dili lage ko mo kaon
"[0, 0, 0, 0]",gikapoy nako
"[1, 1, 0, 0]","nakisabay man ni ang sip on, ubo kag lagnat duro ulobrahon pay"
"[1, 1, 1, 1]",gikapoy ko pero naa paman sa under water akong homies
"[1, 1, 1, 0]",hilanat man guro ni
"[1, 1, 1, 1]",hilanat jud padulngan ani ba
"[0, 0, 0, 0]",pagod na pagod na pagod na pagod na ako magcommute
"[0, 0, 0, 0]",pagod na pagod nako potugh
"[0, 0, 0, 0]",nagkatawa ko kay after nako mahuman tong pouch kay naluya ko dayon natug dayon pag human hahahahah crochet pa
"[1, 1, 1, 1]",kamao sad mu timing akoa hilanat ug sip on kay gi timing walay klase pero di jud nako keri hilantanon nga wala ako mama
"[1, 1, 1, 1]",gisapot nako ug gikapoy
"[0, 0, 0, 0]",pagod na
"[1, 1, 1, 1]",di ako nilulubayan ng ubo ha
"[0, 0, 0, 0]","gusto ko mag celebrate sa kalipay kay engaged na akoa friend, pero sakit kaayo sa dughan makita ang mga post about landslide sa masara"
"[1, 1, 1, 0]",utak mo may ubo.!! cgeg engun ang mga apologist d daw ka move on mga fan ni kath. kamo ray wa ka move on oy. hipusa na imu mga alipores oh. kalat2x. badlunga tawn na imu ka kulto.
"[1, 1, 0, 0]",okay na akoang hilanat pero akoang labad sa ulo kay nagpabilin
"[1, 1, 0, 0]",wa naman ni na mao akong hilanat uy
"[1, 1, 1, 1]",inabot nga ng lagnat
"[0, 0, 0, 0]",i swear gikapoy na ni sila pau sa akoang daily morninf rants ab being late
"[0, 0, 0, 0]",hangak!!! grabe naluya ko nawadan kog kusog aning suits. sige pata ani?
"[0, 0, 0, 0]",sa imong hug gihapon mutahan og mawala ang sakit sa dughan pero unsaon ko man?
"[0, 0, 0, 1]",anak ng ayaw nakong lubayan ng lagnat nato oh
"[1, 0, 0, 0]",ataya ani nga hilanat oy
"[1, 0, 0, 0]",di ko pahibaw sako parents ge hilanat ko kay ignon rakog tungod sakong ka laagan nga tinuod man pud
"[1, 1, 1, 1]",matulog nga sakit ang dughan
"[0, 0, 0, 0]",soft spoken pero sakit pd lges dughan ang mga words??
"[0, 0, 0, 0]",tanay way manulod ron gikapoy kog skwela
"[0, 0, 0, 0]",gikapoy sa road trip ganina haha
"[0, 0, 0, 0]","1. ang kugtong nakadungog ka na ba bahin sa urban legend sa higante nga goldfish sa cagayan de oro? aw, ang sugbo dunay kaugalingong katugbang, ang kugtong. ang kugtong usa ka ilado nga leyenda sa dakbayan sa lapulapu. sumala sa urban legend, ang kugtong usa ka higanteng isda nga grupo sa mga tawo nga nagpuyo ubos sa usa ka kompanya sa paggaling. ang uban nagingon nga ang isda makatulon sa usa ka tawo nga tibuok pinaagi sa iyang mga ngipon nga nagisi sa unod ug mga labaha nga himbis. nagtuo sila nga ang mga isda gimutate gikan sa mga biological waste nga produkto gikan sa milling company. may mga tawo nga nagtuo nga swerte ang isda, hinungdan nga giatiman pagayo sa mga tagiya sa milling company ang kugtong aron magmalampuson ang ilang negosyo. 2. minda mora ang mga cebuano ganahan og maayong horror story. ang mosunod nga urban legend kay gikan sa university of san carlos downtown campus. matod nila usa ka estudyante nga gihinganlan og minda mora ang naghasol gihapon sa unibersidad hangtod karon tungod sa iyang trahedya nga gidangatan. ang leyenda nagingon nga si minda mora, usa ka promising nga estudyante nga mahilig magperform, gilugos ug gipatay sa daghang mga security personnel. ang lawas sa kabus nga tinunan giingong gilubong sa usc cultural center. nagtinguha sa pagpanimalos alang sa iyang makalilisang nga kamatayon, nagpadayon gihapon siya sa mga hawanan sa unibersidad. 3. lily ang mga sikat nga filipino urban legend hapit kanunay naglakip og aswang. ang sugbo adunay aswang nga numero sa ngalan nga lily. sumala sa urban legend, si lily usa ka mangkukulam nga milamoy sa mga tawo sa tungang gabii. siya giingon nga labing gamhanan kung modanag ang bulan. i think ganahan mo matulog karung gabii na naay suga"
"[1, 0, 0, 0]",kapoya salon pag hilanat
