annotate,post,language
"[0, 0, 0, 1]",natug nga sakit ang dughan samot diay igmata,__label__ceb_Latn
"[0, 0, 0, 0]","nganong ni uso naman sab ning parvo run uy, bahalag mag kiat ug mag sinamok ug ayo among mga iro dri dili lang mag ka parvo mag sakit akong dughan makita ni sila mag luya.. bag o pa gani naka recover ang usa, kining isa nasab nag luya jusko",__label__ceb_Latn
"[0, 0, 0, 0]",bay di nako musubaybay ug national finals sunod bi kay dungag2 rani sakit sa dughan. tulo na ka national final ang nakapapiskat nako.,__label__ceb_Latn
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani",__label__ceb_Latn
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani",__label__ceb_Latn
"[0, 0, 0, 0]","sakita nimos dughan oy, sakit kaayu ka higugmaon. i really dont know if you love me pa, early man ka mo greet nako sauna, what happened to you man? and never ga matter nako ang gift maskin lambing nalang nimo.",__label__ceb_Latn
"[0, 0, 0, 0]","dili lang kamo ang naay problema plzz consider me as a human being, consider me as a student pud, consider me as a kid pud palihog, sakit na kaayo akong dughan sig huna huna sainyong problems, inyong problems akoy mag atiman",__label__ceb_Latn
"[0, 0, 0, 0]",agahon pa sakit ang dughan ah,__label__ceb_Latn
"[0, 0, 0, 0]","ani diay ang ma feel kung sobra nimo ka palangga ang isa ka tao, sakit kaayo sa pa na paspas ra kaayo ang tanan naa pa ang oras, why ani d nako kaya pota karon rako ka try og hilak na pinaka lala, tanan kasakit karon ragyud nabuhos, please sakit gyud sya sa dughan.",__label__ceb_Latn
"[0, 0, 0, 0]",soft spoken pero sakit pd lges dughan ang mga words??,__label__ceb_Latn
"[0, 0, 0, 0]",ang sakit nga na feel nako para sa akong daddy di ma kaya murag gikumot akong dughan,__label__ceb_Latn
"[0, 0, 0, 0]",matulog nga sakit ang dughan,__label__ceb_Latn
"[0, 0, 0, 0]",grabe sakit kaayo sa dughan makita ang mga tao sa carmen naa na sa gawas sa kalsada naglapag og tent tapos walay mga suga,__label__ceb_Latn
"[0, 0, 0, 0]",sa imong hug gihapon mutahan og mawala ang sakit sa dughan pero unsaon ko man?,__label__ceb_Latn
"[0, 0, 0, 0]","gaduda gid kuya kay pila na ka weeks nga du ka okay lang tanan, sadya lang, good time lang gakatabo saakon hahaha. lain gali ang balos potanginaaaaa, sakit sakit lo, sakit sakit gid ya. du ma lupok ang dughan ko lolo. halin sang una ikaw gid ya gaapin saakon.",__label__ceb_Latn
"[0, 0, 0, 0]","ginoo ko intawon oi, ka sakit ba sa dughan makita aning naa sa facebook nga mga balita. pamalandungi tawon ginoo ang mga nasalanta og landslide.",__label__ceb_Latn
"[0, 0, 0, 0]","makahilak sad ta magtan aw sa mga nahitabong trahedya karon uy, sakit kay sa dughan tan awon ang mga videos",__label__ceb_Latn
"[0, 0, 0, 0]",sakit kaayu sa dughan paminawn ang mga bata nga gahulat sa ilang mga ginikanan,__label__ceb_Latn
"[0, 0, 0, 0]",du sakit lgi ni siya gamay sa dughan poide nd lg anay kay mahibi n gd bla ko early oa hours kay nababatyagan ang early n 2log!,__label__ceb_Latn
"[0, 0, 0, 0]",dili sako magfacebook bai!! sakit jud kaayo sa dughan ang trahedya na gisinati sa masara,__label__ceb_Latn
"[0, 0, 0, 0]",sakit kaayo sa dughan tan awn ang mga na recover nga natabunan sa landslide,__label__ceb_Latn
"[0, 0, 0, 0]",stop ang pag scroll sa fb early morning kay sakit sa dughan huhu,__label__ceb_Latn
"[0, 0, 0, 0]",nnag sakit akong dughan sa mga panghitabo unta makitan na ang mga natabunan,__label__ceb_Latn
"[0, 0, 0, 0]","gusto ko mag celebrate sa kalipay kay engaged na akoa friend, pero sakit kaayo sa dughan makita ang mga post about landslide sa masara",__label__ceb_Latn
"[0, 0, 0, 0]",sakit sa dughan nga makita nako ang asawa saakong cousin ganiha nga gahilaka,__label__ceb_Latn
"[0, 0, 0, 0]",tama na lord pls. sakit na kaaayo. unsa paman ang buhaton nako lord. sobra na kaayo ang sakit sakong dughan lord,__label__ceb_Latn
